FID,Id,ORIG_FID,FID_FTroad,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,Shape_Leng,level,Shape_Le_1,POINT_X,POINT_Y
579,0,972,46,25584098,5132,trunk_link,滨河皇岗立交, ,F,0,0,F,F,0.002227882,1,0.002264058,114.0692495,22.53075947
580,0,972,46,25584098,5132,trunk_link,滨河皇岗立交, ,F,0,0,F,F,0.002227882,1,0.002264058,114.0683801,22.53085456
581,0,985,9,25423077,5112,trunk,滨河大道,S550,F,0,0,F,F,0.076902431,1,0.001073347,114.049265,22.53144962
582,0,995,9,25423077,5112,trunk,滨河大道,S550,F,0,0,F,F,0.076902431,1,0.000101179,114.0583013,22.53157962
583,0,995,9,25423077,5112,trunk,滨河大道,S550,F,0,0,F,F,0.076902431,1,0.000101179,114.0573277,22.53156234
584,0,995,9,25423077,5112,trunk,滨河大道,S550,F,0,0,F,F,0.076902431,1,0.000101179,114.0563542,22.53154505
585,0,995,9,25423077,5112,trunk,滨河大道,S550,F,0,0,F,F,0.076902431,1,0.000101179,114.0553806,22.53152777
586,0,995,9,25423077,5112,trunk,滨河大道,S550,F,0,0,F,F,0.076902431,1,0.000101179,114.054407,22.53151048
587,0,995,9,25423077,5112,trunk,滨河大道,S550,F,0,0,F,F,0.076902431,1,0.000101179,114.0534334,22.5314932
588,0,998,2825,1255153656,5113,primary,滨河大道辅路, ,F,0,0,F,F,0.001383687,1,0.001384452,114.0700429,22.53159141
589,0,999,47,25584106,5132,trunk_link,滨河皇岗立交, ,F,0,0,F,F,0.003049915,1,0.003131867,114.0688357,22.53022253
590,0,999,47,25584106,5132,trunk_link,滨河皇岗立交, ,F,0,0,F,F,0.003049915,1,0.003131867,114.0695457,22.53088889
591,0,999,47,25584106,5132,trunk_link,滨河皇岗立交, ,F,0,0,F,F,0.003049915,1,0.003131867,114.070256,22.53155362
592,0,1000,765,328724256,5112,trunk,滨河大道,S550,F,0,0,F,F,0.067656011,1,0.001556246,114.0619813,22.53164548
593,0,1004,765,328724256,5112,trunk,滨河大道,S550,F,0,0,F,F,0.067656011,1,0.001077197,114.0593783,22.53159903
594,0,1006,2396,1051517012,5113,primary,滨河大道辅路, ,F,40,0,F,F,0.003091902,1,0.000169124,114.044832,22.53157162
595,0,1020,1208,684241516,5132,trunk_link, , ,F,0,0,F,F,0.001692469,1,0.001788719,114.0464727,22.531609
596,0,1024,230,40998266,5113,primary,滨河大道辅路, ,F,0,0,F,F,0.005696866,1,0.002742111,114.0741567,22.53167199
597,0,1024,230,40998266,5113,primary,滨河大道辅路, ,F,0,0,F,F,0.005696866,1,0.002742111,114.0751299,22.53170294
598,0,1031,172,40971705,5113,primary,滨河大道辅路, ,F,40,0,F,F,0.014927718,1,0.00064224,114.0504211,22.53169778
599,0,1031,172,40971705,5113,primary,滨河大道辅路, ,F,40,0,F,F,0.014927718,1,0.00064224,114.0494475,22.53168524
600,0,1031,172,40971705,5113,primary,滨河大道辅路, ,F,40,0,F,F,0.014927718,1,0.00064224,114.0484738,22.5316727
601,0,1034,765,328724256,5112,trunk,滨河大道,S550,F,0,0,F,F,0.067656011,1,0.00206414,114.0693558,22.53176162
602,0,1034,765,328724256,5112,trunk,滨河大道,S550,F,0,0,F,F,0.067656011,1,0.00206414,114.0683822,22.53174726
603,0,1037,2355,1051282774,5113,primary,滨河大道辅路, ,F,0,0,F,F,0.00236377,1,0.00236377,114.0186364,22.531482
604,0,1037,2355,1051282774,5113,primary,滨河大道辅路, ,F,0,0,F,F,0.00236377,1,0.00236377,114.0195929,22.5316632
605,0,1039,159,40954706,5113,primary,滨河大道辅路, ,F,0,0,F,F,0.00412491,1,0.001697816,114.0227248,22.53164249
606,0,1044,765,328724256,5112,trunk,滨河大道,S550,F,0,0,F,F,0.067656011,1,0.002122871,114.024172,22.53151908
607,0,1044,765,328724256,5112,trunk,滨河大道,S550,F,0,0,F,F,0.067656011,1,0.002122871,114.0251181,22.53128876
608,0,1045,765,328724256,5112,trunk,滨河大道,S550,F,0,0,F,F,0.067656011,1,0.001461749,114.0728768,22.53181507
609,0,1047,765,328724256,5112,trunk,滨河大道,S550,F,0,0,F,F,0.067656011,1,0.001273046,114.07081,22.53178414
610,0,1051,159,40954706,5113,primary,滨河大道辅路, ,F,0,0,F,F,0.00412491,1,0.00175148,114.0209782,22.53176024
611,0,1052,172,40971705,5113,primary,滨河大道辅路, ,F,40,0,F,F,0.014927718,1,0.0017274,114.056855,22.53178749
612,0,1052,172,40971705,5113,primary,滨河大道辅路, ,F,40,0,F,F,0.014927718,1,0.0017274,114.0558815,22.53176763
613,0,1052,172,40971705,5113,primary,滨河大道辅路, ,F,40,0,F,F,0.014927718,1,0.0017274,114.0549079,22.53175337
614,0,1052,172,40971705,5113,primary,滨河大道辅路, ,F,40,0,F,F,0.014927718,1,0.0017274,114.0539343,22.53173911
615,0,1052,172,40971705,5113,primary,滨河大道辅路, ,F,40,0,F,F,0.014927718,1,0.0017274,114.0529606,22.53172485
616,0,1052,172,40971705,5113,primary,滨河大道辅路, ,F,40,0,F,F,0.014927718,1,0.0017274,114.051987,22.53171059
617,0,1053,9,25423077,5112,trunk,滨河大道,S550,F,0,0,F,F,0.076902431,1,0.001567781,114.0636964,22.5316732
618,0,1068,172,40971705,5113,primary,滨河大道辅路, ,F,40,0,F,F,0.014927718,1,0.00103838,114.0613951,22.5318573
619,0,1074,1131,640465232,5132,trunk_link, , ,F,0,0,F,F,0.002535194,1,0.002118874,114.0662207,22.53171396
620,0,1074,1131,640465232,5132,trunk_link, , ,F,0,0,F,F,0.002535194,1,0.002118874,114.0652471,22.53169823
621,0,1076,1396,842389618,5113,primary,滨河大道辅路, ,F,0,0,F,F,0.004654533,1,0.000760818,114.0170535,22.53162178
622,0,1076,1396,842389618,5113,primary,滨河大道辅路, ,F,0,0,F,F,0.004654533,1,0.000760818,114.0160902,22.53147975
623,0,1076,1396,842389618,5113,primary,滨河大道辅路, ,F,0,0,F,F,0.004654533,1,0.000760818,114.0151268,22.53133772
624,0,1078,2356,1051282775,5112,trunk,滨河大道,S550,F,0,0,F,F,0.002384095,1,0.001044287,114.0231569,22.5317643
625,0,1084,9,25423077,5112,trunk,滨河大道,S550,F,0,0,F,F,0.076902431,1,0.00209596,114.0749709,22.53189368
626,0,1084,9,25423077,5112,trunk,滨河大道,S550,F,0,0,F,F,0.076902431,1,0.00209596,114.0739987,22.53183875
627,0,1092,2354,1051282773,5112,trunk,滨河大道,S550,F,0,0,F,F,0.003832041,1,0.003834664,114.0159987,22.53119546
628,0,1092,2354,1051282773,5112,trunk,滨河大道,S550,F,0,0,F,F,0.003832041,1,0.003834664,114.0169545,22.53138182
629,0,1092,2354,1051282773,5112,trunk,滨河大道,S550,F,0,0,F,F,0.003832041,1,0.003834664,114.0179102,22.53156818
630,0,1092,2354,1051282773,5112,trunk,滨河大道,S550,F,0,0,F,F,0.003832041,1,0.003834664,114.0188637,22.53176516
631,0,1092,2354,1051282773,5112,trunk,滨河大道,S550,F,0,0,F,F,0.003832041,1,0.003834664,114.0198239,22.53192411
632,0,1092,2354,1051282773,5112,trunk,滨河大道,S550,F,0,0,F,F,0.003832041,1,0.003834664,114.020796,22.53197193
633,0,1093,2356,1051282775,5112,trunk,滨河大道,S550,F,0,0,F,F,0.002384095,1,0.001339808,114.0218309,22.53194626
634,0,1096,2426,1051842304,5113,primary,滨河大道辅路, ,F,40,0,F,F,0.003325485,1,0.001448704,114.0710711,22.53206123
635,0,1096,2426,1051842304,5113,primary,滨河大道辅路, ,F,40,0,F,F,0.003325485,1,0.001448704,114.0701015,22.5319723
636,0,1096,2426,1051842304,5113,primary,滨河大道辅路, ,F,40,0,F,F,0.003325485,1,0.001448704,114.0691281,22.53198661
637,0,1098,674,260266061,5113,primary,滨河大道辅路, ,F,40,0,F,F,0.01082089,1,0.002645157,114.0737106,22.53207727
638,0,1098,674,260266061,5113,primary,滨河大道辅路, ,F,40,0,F,F,0.01082089,1,0.002645157,114.0727378,22.53211973
639,0,1104,173,40971760,5133,primary_link, , ,F,0,0,F,F,0.001845608,1,0.001845609,114.0436345,22.53205743
640,0,1106,179,40971888,5133,primary_link, , ,F,0,0,F,F,0.001718061,1,0.001906984,114.0456141,22.53205415
641,0,1113,2344,1051282763,5113,primary,滨河大道辅路, ,F,0,0,F,F,0.001875547,1,0.001714923,114.0190716,22.53205984
642,0,1115,153,40953708,5132,trunk_link, , ,F,0,0,F,F,0.001674545,1,0.001555152,114.0216502,22.53230364
643,0,1116,2649,1126957194,5113,primary,滨河大道辅路, ,F,0,0,F,F,0.003354313,1,0.001373708,114.0234884,22.53204612
644,0,1119,96,40932542,5115,tertiary,福田立交, ,F,0,0,F,F,0.006049453,1,0.001674624,114.0134978,22.53173402
645,0,1120,174,40971762,5133,primary_link, , ,F,0,0,F,F,0.002172099,1,0.002172099,114.0434915,22.53211806
646,0,1120,174,40971762,5133,primary_link, , ,F,0,0,F,F,0.002172099,1,0.002172099,114.0427779,22.53146826
