FID,Id,ORIG_FID,FID_FTroad,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,Shape_Leng,level,Shape_Le_1,POINT_X,POINT_Y
0,0,0,1695,916588753,5114,secondary,桃花路, ,B,0,0,F,F,0.013325446,1,0.001826724,114.0463446,22.50543806
1,0,1,1695,916588753,5114,secondary,桃花路, ,B,0,0,F,F,0.013325446,1,0.001827208,114.048171,22.50546222
2,0,2,1730,958849681,5114,secondary,桃花路, ,B,0,0,F,F,0.003654999,1,0.001811647,114.0499774,22.50559147
3,0,3,1695,916588753,5114,secondary,桃花路, ,B,0,0,F,F,0.013325446,1,0.001734354,114.0445307,22.50561598
4,0,4,1730,958849681,5114,secondary,桃花路, ,B,0,0,F,F,0.003654999,1,0.001798871,114.051762,22.50581415
5,0,5,1695,916588753,5114,secondary,桃花路, ,B,0,0,F,F,0.013325446,1,0.001796991,114.042843,22.50600739
6,0,6,1694,916588752,5114,secondary,桃花路, ,B,0,0,F,F,0.002852348,1,0.001793223,114.0535234,22.50614679
7,0,7,1694,916588752,5114,secondary,桃花路, ,B,0,0,F,F,0.002852348,1,0.001103585,114.0545993,22.50639194
8,0,8,1695,916588753,5114,secondary,桃花路, ,B,0,0,F,F,0.013325446,1,0.001666901,114.0411263,22.50653751
9,0,9,1695,916588753,5114,secondary,桃花路, ,B,0,0,F,F,0.013325446,1,0.001622656,114.0395399,22.50704927
10,0,10,1695,916588753,5114,secondary,桃花路, ,B,0,0,F,F,0.013325446,1,0.001566619,114.0379993,22.50755839
11,0,11,887,477810546,5115,tertiary,海虹道, ,F,0,0,F,F,0.005287698,1,0.00259098,114.0472875,22.50704596
12,0,11,887,477810546,5115,tertiary,海虹道, ,F,0,0,F,F,0.005287698,1,0.00259098,114.0473066,22.50607242
13,0,12,365,46898375,5115,tertiary,红柳道, ,F,0,0,F,F,0.00496806,1,0.002594806,114.0455833,22.50708743
14,0,12,365,46898375,5115,tertiary,红柳道, ,F,0,0,F,F,0.00496806,1,0.002594806,114.04553,22.50611516
15,0,13,1693,916588751,5115,tertiary,金花路, ,F,0,0,F,F,0.019968431,1,0.001632495,114.0462951,22.50804348
16,0,14,1693,916588751,5115,tertiary,金花路, ,F,0,0,F,F,0.019968431,1,0.001656844,114.047951,22.50804768
17,0,15,1692,916588748,5115,tertiary,槟榔道, ,F,0,0,F,F,0.004055631,1,0.00259104,114.0490063,22.50712299
18,0,15,1692,916588748,5115,tertiary,槟榔道, ,F,0,0,F,F,0.004055631,1,0.00259104,114.0490889,22.50615278
19,0,16,1695,916588753,5114,secondary,桃花路, ,B,0,0,F,F,0.013325446,1,0.001283992,114.0365073,22.50803575
20,0,17,369,46898385,5115,tertiary,凤凰道, ,F,0,0,F,F,0.004833853,1,0.002455502,114.0438971,22.50671894
21,0,17,369,46898385,5115,tertiary,凤凰道, ,F,0,0,F,F,0.004833853,1,0.002455502,114.0440118,22.50768589
22,0,18,1693,916588751,5115,tertiary,金花路, ,F,0,0,F,F,0.019968431,1,0.001570249,114.0446662,22.50814075
23,0,19,1693,916588751,5115,tertiary,金花路, ,F,0,0,F,F,0.019968431,1,0.001623857,114.0495697,22.50816529
24,0,20,1367,816881865,5115,tertiary,蓝花道, ,F,0,0,F,F,0.004057771,1,0.002619603,114.0507919,22.50665488
25,0,20,1367,816881865,5115,tertiary,蓝花道, ,F,0,0,F,F,0.004057771,1,0.002619603,114.0506371,22.50761621
26,0,22,371,46898390,5115,tertiary,黄槐道, ,F,0,0,F,F,0.004572633,1,0.002208949,114.0422795,22.50745129
27,0,22,371,46898390,5115,tertiary,黄槐道, ,F,0,0,F,F,0.004572633,1,0.002208949,114.0421015,22.50649396
28,0,23,1693,916588751,5115,tertiary,金花路, ,F,0,0,F,F,0.019968431,1,0.001628881,114.0431068,22.50832084
29,0,24,1693,916588751,5115,tertiary,金花路, ,F,0,0,F,F,0.019968431,1,0.001636443,114.051193,22.50837146
30,0,26,350,46734916,5114,secondary,红棉道, ,F,0,0,F,F,0.005420388,1,0.00259841,114.052369,22.50755578
31,0,26,350,46734916,5114,secondary,红棉道, ,F,0,0,F,F,0.005420388,1,0.00259841,114.0525817,22.50660555
32,0,27,370,46898388,5115,tertiary,平冠道, ,F,0,0,F,F,0.004416222,1,0.002032775,114.0406831,22.50770286
33,0,27,370,46898388,5115,tertiary,平冠道, ,F,0,0,F,F,0.004416222,1,0.002032775,114.0409012,22.50865184
34,0,28,1693,916588751,5115,tertiary,金花路, ,F,0,0,F,F,0.019968431,1,0.001571471,114.041505,22.50861085
35,0,29,1693,916588751,5115,tertiary,金花路, ,F,0,0,F,F,0.019968431,1,0.001628966,114.0527971,22.50864774
36,0,30,362,46898363,5115,tertiary,紫荆道, ,B,0,0,F,F,0.004048456,1,0.002608831,114.0542017,22.50729258
37,0,30,362,46898363,5115,tertiary,紫荆道, ,B,0,0,F,F,0.004048456,1,0.002608831,114.0539305,22.50822777
38,0,31,373,46898392,5115,tertiary,广兰道, ,F,0,0,F,F,0.004283133,1,0.001881958,114.0391426,22.50812875
39,0,32,1693,916588751,5115,tertiary,金花路, ,F,0,0,F,F,0.019968431,1,0.00157697,114.0399692,22.50894376
40,0,33,1693,916588751,5115,tertiary,金花路, ,F,0,0,F,F,0.019968431,1,0.001540255,114.0542947,22.50900692
41,0,34,372,46898391,5115,tertiary,香樟道, ,F,0,0,F,F,0.003124162,1,0.001734797,114.0377645,22.5086664
42,0,35,1693,916588751,5115,tertiary,金花路, ,F,0,0,F,F,0.019968431,1,0.001397348,114.0384307,22.50928982
43,0,36,887,477810546,5115,tertiary,海虹道, ,F,0,0,F,F,0.005287698,1,0.001432899,114.0472613,22.50847862
44,0,38,376,46898410,5114,secondary,桃花路, ,B,0,0,F,F,0.004545267,1,0.002789599,114.0556421,22.5084608
45,0,38,376,46898410,5114,secondary,桃花路, ,B,0,0,F,F,0.004545267,1,0.002789599,114.0555673,22.50749042
46,0,39,365,46898375,5115,tertiary,红柳道, ,F,0,0,F,F,0.00496806,1,0.001421681,114.0456607,22.508507
47,0,40,1692,916588748,5115,tertiary,槟榔道, ,F,0,0,F,F,0.004055631,1,0.001428049,114.048885,22.50854588
48,0,41,1673,913146947,5114,secondary,市花路, ,F,0,0,F,F,0.012021717,1,0.001536772,114.0466867,22.50945686
49,0,42,369,46898385,5115,tertiary,凤凰道, ,F,0,0,F,F,0.004833853,1,0.001404898,114.0441864,22.50915735
50,0,43,1673,913146947,5114,secondary,市花路, ,F,0,0,F,F,0.012021717,1,0.001551199,114.0482231,22.50948713
51,0,45,1673,913146947,5114,secondary,市花路, ,F,0,0,F,F,0.012021717,1,0.001480047,114.0452078,22.50950889
52,0,46,1367,816881865,5115,tertiary,蓝花道, ,F,0,0,F,F,0.004057771,1,0.001402523,114.0503874,22.50924297
53,0,47,1691,916588747,5114,secondary,市花路, ,F,0,0,F,F,0.003109468,1,0.001527451,114.0497692,22.50960733
54,0,48,371,46898390,5115,tertiary,黄槐道, ,F,0,0,F,F,0.004572633,1,0.001409131,114.0425356,22.50883694
55,0,49,533,217564558,5115,tertiary,金葵道, ,B,0,0,F,F,0.003073019,1,0.001543609,114.0358582,22.50933981
56,0,50,1693,916588751,5115,tertiary,金花路, ,F,0,0,F,F,0.019968431,1,0.001922034,114.0370706,22.5096102
57,0,51,1673,913146947,5114,secondary,市花路, ,F,0,0,F,F,0.012021717,1,0.001538707,114.0436767,22.509656
58,0,52,1658,910437367,5114,secondary,市花路, ,F,0,0,F,F,0.015174529,1,0.001488179,114.0512814,22.50981848
59,0,53,598,238038714,5114,secondary,红棉道, ,F,0,0,F,F,0.005497637,1,0.001409401,114.0520597,22.5089308
60,0,57,370,46898388,5115,tertiary,平冠道, ,F,0,0,F,F,0.004416222,1,0.001418058,114.0411281,22.50968629
61,0,58,1673,913146947,5114,secondary,市花路, ,F,0,0,F,F,0.012021717,1,0.001522543,114.042176,22.50990729
62,0,59,1728,958581833,5115,tertiary,紫荆道, ,F,0,0,F,F,0.001472535,1,0.001436471,114.0536179,22.50930756
63,0,60,1690,916588745,5114,secondary,市花路, ,F,0,0,F,F,0.004561022,1,0.001491266,114.0528406,22.51012589
64,0,61,887,477810546,5115,tertiary,海虹道, ,F,0,0,F,F,0.005287698,1,0.001112586,114.0472468,22.50959107
65,0,62,373,46898392,5115,tertiary,广兰道, ,F,0,0,F,F,0.004283133,1,0.001423058,114.0394941,22.50950769
66,0,63,365,46898375,5115,tertiary,红柳道, ,F,0,0,F,F,0.00496806,1,0.001104892,114.0457203,22.50961029
67,0,64,1270,743544186,5115,tertiary,红花路, ,F,0,0,F,F,0.007338915,1,0.001459643,114.0467596,22.51056746
68,0,65,1673,913146947,5114,secondary,市花路, ,F,0,0,F,F,0.012021717,1,0.001520432,114.0406921,22.51023835
69,0,66,369,46898385,5115,tertiary,凤凰道, ,F,0,0,F,F,0.004833853,1,0.00111417,114.044355,22.51055209
70,0,67,1270,743544186,5115,tertiary,红花路, ,F,0,0,F,F,0.007338915,1,0.00141837,114.0453424,22.51061017
71,0,68,363,46898367,5115,tertiary,瑞香道, ,B,0,0,F,F,0.001491453,1,0.001456701,114.0549047,22.51016955
72,0,69,1690,916588745,5114,secondary,市花路, ,F,0,0,F,F,0.004561022,1,0.001446494,114.0542844,22.51049806
73,0,70,372,46898391,5115,tertiary,香樟道, ,F,0,0,F,F,0.003124162,1,0.001424428,114.0383337,22.51030514
74,0,71,1658,910437367,5114,secondary,市花路, ,F,0,0,F,F,0.015174529,1,0.001288993,114.0394339,22.51051872
75,0,72,371,46898390,5115,tertiary,黄槐道, ,F,0,0,F,F,0.004572633,1,0.00110037,114.0427374,22.50991864
76,0,74,1270,743544186,5115,tertiary,红花路, ,F,0,0,F,F,0.007338915,1,0.001441657,114.0439078,22.51074977
77,0,75,557,222976761,5115,tertiary,绒花路, ,F,0,0,F,F,0.00719821,1,0.00144965,114.0477197,22.51060636
78,0,76,1560,875261263,5115,tertiary,绒花路, ,F,0,0,F,F,0.001483542,1,0.001490997,114.0492049,22.5107374
79,0,78,2724,1183851121,5115,tertiary,绒花路, ,F,0,0,F,F,0.001168173,1,0.001453219,114.050647,22.51091207
80,0,79,370,46898388,5115,tertiary,平冠道, ,F,0,0,F,F,0.004416222,1,0.001117155,114.0414709,22.51106206
81,0,80,1270,743544186,5115,tertiary,红花路, ,F,0,0,F,F,0.007338915,1,0.001437942,114.0424565,22.51098157
82,0,81,1697,916588756,5114,secondary,市花路, ,F,0,0,F,F,0.004561034,1,0.001619878,114.055665,22.5109274
83,0,82,376,46898410,5114,secondary,桃花路, ,B,0,0,F,F,0.004545267,1,0.001755669,114.0559688,22.51018417
84,0,83,533,217564558,5115,tertiary,金葵道, ,B,0,0,F,F,0.003073019,1,0.001529409,114.0366549,22.51066189
85,0,84,1673,913146947,5114,secondary,市花路, ,F,0,0,F,F,0.012021717,1,0.001592771,114.0378831,22.51088117
86,0,85,373,46898392,5115,tertiary,广兰道, ,F,0,0,F,F,0.004283133,1,0.000978117,114.0397426,22.51045372
87,0,86,1270,743544186,5115,tertiary,红花路, ,F,0,0,F,F,0.007338915,1,0.001530863,114.0405402,22.51130792
88,0,87,2380,1051282803,5115,tertiary,绒花路, ,F,0,0,F,F,0.001327069,1,0.001336748,114.0520598,22.51118093
89,0,89,1696,916588755,5115,tertiary,香樟道, ,F,0,0,F,F,0.001014426,1,0.000978438,114.0387659,22.51166041
90,0,90,1553,875261251,5115,tertiary,红花路, ,B,0,0,F,F,0.001252027,1,0.001252027,114.0397182,22.51145538
91,0,91,374,46898393,5115,tertiary,绒花路, ,F,0,0,F,F,0.003342409,1,0.001359622,114.0533743,22.51152602
92,0,95,375,46898405,5115,tertiary,红花路, ,F,0,0,F,F,0.001242515,1,0.001242516,114.0378234,22.51190392
93,0,96,1554,875261252,5115,tertiary,金葵道, ,F,0,0,F,F,0.001077666,1,0.001077666,114.0369981,22.51122519
94,0,97,1555,875261256,5115,tertiary,红花路, ,F,0,0,F,F,0.001859115,1,0.001863645,114.0553042,22.51200685
95,0,100,599,238038718,5113,primary,益田路, ,F,0,0,F,F,0.00121855,1,0.001112848,114.0515535,22.51131623
96,0,102,366,46898378,5115,tertiary,海虹道, ,F,0,0,F,F,0.001568788,1,0.001769256,114.0472351,22.5115384
97,0,104,379,46898415,5114,secondary,桂花路, ,F,0,0,F,F,0.008088209,1,0.002644584,114.0455482,22.51238276
98,0,104,379,46898415,5114,secondary,桂花路, ,F,0,0,F,F,0.008088209,1,0.002644584,114.0465208,22.51233976
99,0,105,1558,875261259,5114,secondary,桃花路, ,B,0,0,F,F,0.001436433,1,0.001436432,114.0564745,22.51152369
100,0,106,379,46898415,5114,secondary,桂花路, ,F,0,0,F,F,0.008088209,1,0.00135565,114.0481908,22.5123717
101,0,107,1375,824751285,5114,secondary,红棉道, ,F,0,0,F,F,0.001763732,1,0.001427513,114.0514822,22.51159394
102,0,108,1374,824751284,5114,secondary,红棉道, ,F,0,0,F,F,0.001656675,1,0.001483756,114.0515078,22.51205562
103,0,112,2367,1051282788,5114,secondary,桂花路, ,F,0,0,F,F,0.001572459,1,0.001070707,114.0508683,22.51268092
104,0,120,2481,1054407540,5114,secondary,桂花路, ,F,0,0,F,F,0.00401503,1,0.001341559,114.0495414,22.51248516
105,0,124,1388,830725880,5114,secondary,桂花路, ,F,0,0,F,F,0.006716007,1,0.002728678,114.0428423,22.51271564
106,0,124,1388,830725880,5114,secondary,桂花路, ,F,0,0,F,F,0.006716007,1,0.002728678,114.0438026,22.51255618
107,0,125,2522,1059172732,5114,secondary,桂花路, ,F,0,0,F,F,0.001119624,1,0.001117291,114.0524061,22.51299015
108,0,130,2478,1054407530,5114,secondary,桂花路, ,F,0,0,F,F,0.003302367,1,0.001177539,114.0416906,22.51295931
109,0,131,1387,830725879,5114,secondary,桂花路, ,F,0,0,F,F,0.005163737,1,0.001226766,114.0534754,22.51331304
110,0,132,1660,910437375,5115,tertiary,瑞香道, ,F,0,-1,F,F,0.001092269,1,0.001157215,114.0537788,22.51321668
111,0,136,1237,687538030,5111,motorway,京港澳高速,G4,F,120,0,F,F,0.004854547,1,0.004864503,114.0458068,22.51321024
112,0,136,1237,687538030,5111,motorway,京港澳高速,G4,F,120,0,F,F,0.004854547,1,0.004864503,114.0467802,22.51318722
113,0,136,1237,687538030,5111,motorway,京港澳高速,G4,F,120,0,F,F,0.004854547,1,0.004864503,114.0477537,22.51320004
114,0,136,1237,687538030,5111,motorway,京港澳高速,G4,F,120,0,F,F,0.004854547,1,0.004864503,114.0487253,22.5132629
115,0,137,1552,875261250,5115,tertiary,香樟道, ,B,0,0,F,F,0.001921249,1,0.001580078,114.0392169,22.51286925
116,0,139,1240,687538033,5111,motorway,京港澳高速,G4,F,120,0,F,F,0.005283155,1,0.001121818,114.0508845,22.51354141
117,0,156,1387,830725879,5114,secondary,桂花路, ,F,0,0,F,F,0.005163737,1,0.001847997,114.0546381,22.51370266
118,0,158,1384,825084776,5115,tertiary,椰风道, ,B,0,0,F,F,0.001646847,1,0.001888033,114.0558592,22.51315088
119,0,163,1243,687538037,5111,motorway,京港澳高速,G4,F,0,0,F,F,0.005238912,1,0.001759571,114.0520511,22.51378608
120,0,166,1233,687538025,5111,motorway,京港澳高速,G4,F,0,0,F,F,0.003785261,1,0.003804787,114.0417959,22.51379748
121,0,166,1233,687538025,5111,motorway,京港澳高速,G4,F,0,0,F,F,0.003785261,1,0.003804787,114.0427486,22.51359686
122,0,166,1233,687538025,5111,motorway,京港澳高速,G4,F,0,0,F,F,0.003785261,1,0.003804787,114.043707,22.5134249
123,0,173,1582,885105258,5114,secondary, , ,F,0,0,F,F,0.002511011,1,0.002536311,114.0578498,22.51362271
124,0,173,1582,885105258,5114,secondary, , ,F,0,0,F,F,0.002511011,1,0.002536311,114.0572212,22.51287948
125,0,175,559,223456773,5114,secondary,福荣路, ,F,0,0,F,F,0.011934726,1,0.005212593,114.0457487,22.51413824
126,0,175,559,223456773,5114,secondary,福荣路, ,F,0,0,F,F,0.011934726,1,0.005212593,114.0467195,22.51408085
127,0,175,559,223456773,5114,secondary,福荣路, ,F,0,0,F,F,0.011934726,1,0.005212593,114.0476928,22.51409823
128,0,175,559,223456773,5114,secondary,福荣路, ,F,0,0,F,F,0.011934726,1,0.005212593,114.0486627,22.51418026
129,0,175,559,223456773,5114,secondary,福荣路, ,F,0,0,F,F,0.011934726,1,0.005212593,114.0496276,22.51431129
130,0,185,550,220800290,5111,motorway,京港澳高速,G4,F,120,0,F,F,0.001626311,1,0.001620977,114.0400337,22.5143062
131,0,196,585,231534951,5114,secondary,福荣路, ,F,0,0,F,F,0.009572852,1,0.003784483,114.0419905,22.51453683
132,0,196,585,231534951,5114,secondary,福荣路, ,F,0,0,F,F,0.009572852,1,0.003784483,114.0429486,22.51436564
133,0,196,585,231534951,5114,secondary,福荣路, ,F,0,0,F,F,0.009572852,1,0.003784483,114.0439176,22.51427657
134,0,198,1243,687538037,5111,motorway,京港澳高速,G4,F,0,0,F,F,0.005238912,1,0.001926661,114.0537629,22.51427939
135,0,217,2372,1051282793,5114,secondary,桂花路, ,F,0,0,F,F,0.0015785,1,0.001602923,114.0565661,22.51461567
136,0,223,559,223456773,5114,secondary,福荣路, ,F,0,0,F,F,0.011934726,1,0.001653255,114.040323,22.51501126
137,0,224,359,46898356,5115,tertiary,菩提路, ,B,0,0,F,F,0.009097969,1,0.002320692,114.0539417,22.51494622
138,0,224,359,46898356,5115,tertiary,菩提路, ,B,0,0,F,F,0.009097969,1,0.002320692,114.0530249,22.51462253
139,0,225,359,46898356,5115,tertiary,菩提路, ,B,0,0,F,F,0.009097969,1,0.001614348,114.0517106,22.51433086
140,0,231,1246,687538040,5111,motorway,京港澳高速,G4,F,0,0,F,F,0.001995755,1,0.001990469,114.0561043,22.51520244
141,0,231,1246,687538040,5111,motorway,京港澳高速,G4,F,0,0,F,F,0.001995755,1,0.001990469,114.0569783,22.51563155
142,0,234,2530,1064264081,5115,tertiary, , ,F,0,0,F,F,0.005186114,1,0.002019976,114.0593611,22.51550018
143,0,234,2530,1064264081,5115,tertiary, , ,F,0,0,F,F,0.005186114,1,0.002019976,114.0588417,22.51470996
144,0,241,937,535856484,5114,secondary, , ,F,0,0,F,F,0.002806215,1,0.002833076,114.0605538,22.51552537
145,0,241,937,535856484,5114,secondary, , ,F,0,0,F,F,0.002806215,1,0.002833076,114.059735,22.51499846
146,0,252,1805,996181405,5113,primary,益田路, ,F,0,0,F,F,0.002303233,1,0.001237703,114.0505901,22.51576091
147,0,253,1363,816544580,5114,secondary,益田路, ,F,0,0,F,F,0.002183441,1,0.001873457,114.0508251,22.51586058
148,0,254,2763,1216685947,5114,secondary,福荣路, ,F,0,0,F,F,0.002791696,1,0.002147175,114.0374652,22.51634372
149,0,254,2763,1216685947,5114,secondary,福荣路, ,F,0,0,F,F,0.002791696,1,0.002147175,114.0383362,22.51591825
150,0,255,1359,816544573,5114,secondary,益田路, ,F,40,0,F,F,0.002338292,1,0.001920123,114.0503671,22.51578643
151,0,258,1257,705916696,5111,motorway,京港澳高速,G4,F,0,0,F,F,0.001305256,1,0.001295851,114.0590642,22.51689541
152,0,263,1003,564122743,5115,tertiary, , ,F,0,0,F,F,0.00459197,1,0.002566312,114.0614599,22.51694853
153,0,263,1003,564122743,5115,tertiary, , ,F,0,0,F,F,0.00459197,1,0.002566312,114.0606794,22.51636833
154,0,264,1269,743544185,5114,secondary,新洲路, ,F,0,0,F,F,0.00520198,1,0.001696175,114.0391218,22.51682018
155,0,265,1842,996188215,5113,primary,益田路, ,F,0,0,F,F,0.001017437,1,0.001013303,114.0505912,22.51676553
156,0,266,558,222976873,5114,secondary,桂花路, ,B,0,0,F,F,0.00475554,1,0.001853945,114.0605616,22.51718056
157,0,270,558,222976873,5114,secondary,桂花路, ,B,0,0,F,F,0.00475554,1,0.00249204,114.0587224,22.51586182
158,0,270,558,222976873,5114,secondary,桂花路, ,B,0,0,F,F,0.00475554,1,0.00249204,114.0578932,22.51535228
159,0,272,359,46898356,5115,tertiary,菩提路, ,B,0,0,F,F,0.009097969,1,0.001441018,114.0567043,22.51633594
160,0,273,359,46898356,5115,tertiary,菩提路, ,B,0,0,F,F,0.009097969,1,0.001652615,114.0554293,22.5156643
161,0,278,601,238041651,5114,secondary, , ,F,0,0,F,F,0.00207071,1,0.002098732,114.0621068,22.51721967
162,0,278,601,238041651,5114,secondary, , ,F,0,0,F,F,0.00207071,1,0.002098732,114.0616862,22.51635129
163,0,292,1806,996181406,5113,primary,福强路, ,F,0,0,F,F,0.008369214,1,0.001767596,114.049375,22.51831478
164,0,297,507,135960986,5114,secondary, , ,F,0,0,F,F,0.002235617,1,0.001276636,114.0618559,22.51815341
165,0,299,2735,1187203257,5114,secondary,福荣路, ,F,0,0,F,F,0.008844176,1,0.004549708,114.0334533,22.51848935
166,0,299,2735,1187203257,5114,secondary,福荣路, ,F,0,0,F,F,0.008844176,1,0.004549708,114.0343122,22.51803077
167,0,299,2735,1187203257,5114,secondary,福荣路, ,F,0,0,F,F,0.008844176,1,0.004549708,114.0351716,22.51757287
168,0,299,2735,1187203257,5114,secondary,福荣路, ,F,0,0,F,F,0.008844176,1,0.004549708,114.036031,22.5171151
169,0,300,1811,996181411,5113,primary,福强路, ,F,0,0,F,F,0.009668151,1,0.005168717,114.055584,22.51867589
170,0,300,1811,996181411,5113,primary,福强路, ,F,0,0,F,F,0.009668151,1,0.005168717,114.0546356,22.51845653
171,0,300,1811,996181411,5113,primary,福强路, ,F,0,0,F,F,0.009668151,1,0.005168717,114.053673,22.5183114
172,0,300,1811,996181411,5113,primary,福强路, ,F,0,0,F,F,0.009668151,1,0.005168717,114.0527036,22.51822267
173,0,300,1811,996181411,5113,primary,福强路, ,F,0,0,F,F,0.009668151,1,0.005168717,114.0517306,22.51818913
174,0,303,356,46875338,5113,primary,落馬洲橋 Lok Ma Chau Birdge, ,F,0,1,T,F,0.002643651,1,0.002295168,114.0705376,22.5181044
175,0,303,356,46875338,5113,primary,落馬洲橋 Lok Ma Chau Birdge, ,F,0,1,T,F,0.002643651,1,0.002295168,114.070754,22.51715504
176,0,312,509,135960993,5113,primary,落馬洲橋 Lok Ma Chau Birdge, ,F,0,1,T,F,0.002635722,1,0.002265055,114.0707917,22.51815009
177,0,312,509,135960993,5113,primary,落馬洲橋 Lok Ma Chau Birdge, ,F,0,1,T,F,0.002635722,1,0.002265055,114.0710018,22.51719931
178,0,339,703,273593615,5131,motorway_link, , ,F,0,0,F,F,0.001486706,1,0.00149403,114.0610208,22.51853969
179,0,376,1811,996181411,5113,primary,福强路, ,F,0,0,F,F,0.009668151,1,0.001947645,114.0574415,22.51925687
180,0,376,1811,996181411,5113,primary,福强路, ,F,0,0,F,F,0.009668151,1,0.001947645,114.0565215,22.5189392
181,0,380,866,396504555,5113,primary, , ,F,0,0,F,F,0.0022305,1,0.001105864,114.0715708,22.52010928
182,0,382,491,135960882,5114,secondary, , ,F,0,1,T,F,0.001856647,1,0.001061779,114.0717204,22.52024115
183,0,383,865,396504554,5114,secondary, , ,F,0,1,T,F,0.001296336,1,0.001350984,114.0721572,22.51963048
184,0,385,499,135960931,5113,primary, , ,F,0,1,T,F,0.001412784,1,0.001311743,114.0727452,22.52008136
185,0,386,1177,669298126,5113,primary, , ,F,0,0,F,F,0.001985817,1,0.001235619,114.0699983,22.51951531
186,0,391,27,25486168,5113,primary, , ,F,0,1,T,F,0.001636966,1,0.001103905,114.0704858,22.51975986
187,0,392,699,273589317,5113,primary, , ,F,0,1,T,F,0.001521748,1,0.001521749,114.0713678,22.5201052
188,0,394,495,135960894,5113,primary, , ,F,0,1,T,F,0.00273342,1,0.001856715,114.0706528,22.52050075
189,0,397,1269,743544185,5114,secondary,新洲路, ,F,0,0,F,F,0.00520198,1,0.003506263,114.0410043,22.51977811
190,0,397,1269,743544185,5114,secondary,新洲路, ,F,0,0,F,F,0.00520198,1,0.003506263,114.0404883,22.51895233
191,0,397,1269,743544185,5114,secondary,新洲路, ,F,0,0,F,F,0.00520198,1,0.003506263,114.0399608,22.51813387
192,0,399,452,97522329,5115,tertiary,皇岗公园一街, ,B,0,0,F,F,0.00487467,1,0.001744892,114.056489,22.51970896
193,0,400,498,135960911,5114,secondary,福田保税区一号专用通道, ,F,0,1,T,F,0.008743426,1,0.003194091,114.0680221,22.52041171
194,0,400,498,135960911,5114,secondary,福田保税区一号专用通道, ,F,0,1,T,F,0.008743426,1,0.003194091,114.0689421,22.5201114
195,0,400,498,135960911,5114,secondary,福田保税区一号专用通道, ,F,0,1,T,F,0.008743426,1,0.003194091,114.0696691,22.51946567
196,0,401,492,135960887,5113,primary, , ,F,0,1,T,F,0.001845727,1,0.001190096,114.0701345,22.519997
197,0,402,2736,1187203258,5114,secondary,福荣路, ,F,0,0,F,F,0.010710502,1,0.003764653,114.0298086,22.52030111
198,0,402,2736,1187203258,5114,secondary,福荣路, ,F,0,0,F,F,0.010710502,1,0.003764653,114.030656,22.51982148
199,0,402,2736,1187203258,5114,secondary,福荣路, ,F,0,0,F,F,0.010710502,1,0.003764653,114.031506,22.51934643
200,0,404,2736,1187203258,5114,secondary,福荣路, ,F,0,0,F,F,0.010710502,1,0.004591215,114.033336,22.51836291
201,0,404,2736,1187203258,5114,secondary,福荣路, ,F,0,0,F,F,0.010710502,1,0.004591215,114.0341953,22.51790503
202,0,404,2736,1187203258,5114,secondary,福荣路, ,F,0,0,F,F,0.010710502,1,0.004591215,114.0350546,22.51744707
203,0,404,2736,1187203258,5114,secondary,福荣路, ,F,0,0,F,F,0.010710502,1,0.004591215,114.0359141,22.51698938
204,0,405,2736,1187203258,5114,secondary,福荣路, ,F,0,0,F,F,0.010710502,1,0.002101002,114.0373886,22.51620524
205,0,405,2736,1187203258,5114,secondary,福荣路, ,F,0,0,F,F,0.010710502,1,0.002101002,114.0382494,22.5157501
206,0,406,497,135960903,5114,secondary,福田保税区一号专用通道, ,F,0,1,T,F,0.005018456,1,0.003092091,114.0652775,22.52026029
207,0,406,497,135960903,5114,secondary,福田保税区一号专用通道, ,F,0,1,T,F,0.005018456,1,0.003092091,114.0644073,22.51982592
208,0,406,497,135960903,5114,secondary,福田保税区一号专用通道, ,F,0,1,T,F,0.005018456,1,0.003092091,114.0636424,22.51922461
209,0,417,2732,1187203254,5115,tertiary, , ,F,0,0,F,F,0.008914422,1,0.003472191,114.030125,22.52026662
210,0,417,2732,1187203254,5115,tertiary, , ,F,0,0,F,F,0.008914422,1,0.003472191,114.0309595,22.51976829
211,0,417,2732,1187203254,5115,tertiary, , ,F,0,0,F,F,0.008914422,1,0.003472191,114.0318127,22.51930033
212,0,418,2836,1299464976,5115,tertiary,国花路, ,F,0,0,F,F,0.001123325,1,0.001036564,114.0620456,22.52017911
213,0,422,1813,996181413,5113,primary,福强路, ,F,0,0,F,F,0.001336138,1,0.001274882,114.0597738,22.5203686
214,0,427,1806,996181406,5113,primary,福强路, ,F,0,0,F,F,0.008369214,1,0.0065327,114.0475624,22.51865958
215,0,427,1806,996181406,5113,primary,福强路, ,F,0,0,F,F,0.008369214,1,0.0065327,114.0466236,22.51891777
216,0,427,1806,996181406,5113,primary,福强路, ,F,0,0,F,F,0.008369214,1,0.0065327,114.0457029,22.5192341
217,0,427,1806,996181406,5113,primary,福强路, ,F,0,0,F,F,0.008369214,1,0.0065327,114.0448035,22.51960674
218,0,427,1806,996181406,5113,primary,福强路, ,F,0,0,F,F,0.008369214,1,0.0065327,114.0439276,22.52003175
219,0,427,1806,996181406,5113,primary,福强路, ,F,0,0,F,F,0.008369214,1,0.0065327,114.0430728,22.52049797
